Method,OR,CI_lower,CI_upper,p_value,OR_CI,p_value_fmt
Outcome Regression (Logistic),0.8683553208805295,0.7892091263391486,0.9554387273741327,0.003798850941065368,0.868 (0.789 - 0.955),0.0038
IPTW,0.8608369553618644,0.784755570773371,0.9442943654243764,0.001503138149758776,0.861 (0.785 - 0.944),0.0015
