term,estimate,std.error,statistic,df,p.value,2.5 %,97.5 %,conf.low,conf.high
(Intercept),0.0366744442839688,0.22291832122790248,-14.82908667761017,210.21071115995701,1.5985235410013664e-34,0.02363286459595421,0.056912900172423,0.02363286459595421,0.056912900172423
milnepan,0.8683553208805295,0.04875327795957801,-2.8952779821066383,7722.037945146705,0.003798850941065368,0.7892091263391486,0.9554387273741327,0.7892091263391486,0.9554387273741327
age,1.0241838327534152,0.001404633310579756,17.012293883429226,7929.307149927525,8.930642364181793e-64,1.021367671616919,1.02700775873676,1.021367671616919,1.02700775873676
sex,1.0113414998946815,0.046966340841887735,0.24012233160285693,7811.224182002282,0.8102417235008914,0.9223883546776537,1.1088730947461551,0.9223883546776537,1.1088730947461551
bmi,1.0675691389808333,0.00741081895070838,8.82280779673459,143.18095018048714,3.515463775347277e-15,1.0520445709037125,1.0833227964146668,1.0520445709037125,1.0833227964146668
smoking1,1.0433818992869344,0.05547134929976139,0.7655711312954974,5622.535823832785,0.4439636622273525,0.9358706629172746,1.163243844364251,0.9358706629172746,1.163243844364251
diabetes,1.7186646128381848,0.0763000976120005,7.097600374632409,8112.301787724264,1.3764529226988331e-12,1.4799078797623821,1.9959404850905302,1.4799078797623821,1.9959404850905302
