"sub_icb_loc_ons_code","sub_icb_loc_name","n_practices","mean_copd008_patients_receiving_intervention_percentage","mean_copd010_patients_receiving_intervention_percentage","mean_copd_overall_percentage"
"E38000200","NHS Lancashire and South Cumbria ICB - 02G",15,33.3995924743098,66.8597166346491,50.1286666666667
"E38000201","NHS Leicester, Leicestershire and Rutland ICB - 04V",46,34.3710149659351,73.7166632916385,54.0436956521739
"E38000204","NHS Suffolk and North East Essex ICB - 07K",24,25.329277100623,58.0631260330652,41.6958333333333
"E38000205","NHS Greater Manchester ICB - 02H",57,33.3623542765281,64.4951270802147,48.9278947368421
"E38000208","NHS Cheshire and Merseyside ICB - 12F",47,35.4739276750303,65.2537606958443,50.363829787234
"E38000212","NHS North East and North Cumbria ICB - 13T",60,44.5034558104702,63.8848704236737,54.4476666666667
"E38000215","NHS North East and North Cumbria ICB - 01H",35,41.5579616617333,61.7308862365131,51.6437142857143
"E38000217","NHS Greater Manchester ICB - 14L",83,35.5871923351415,60.2633805723844,47.925421686747
"E38000221","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",44,41.071243568785,60.4252015721418,50.7477272727273
"E38000222","NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",77,45.630625766877,60.2489435140437,52.6389473684211
"E38000223","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",48,46.1397200867349,63.9254926403116,55.0329166666667
"E38000225","NHS West Yorkshire ICB - 15F",91,28.1445105537013,71.0723665313164,49.4534065934066
"E38000226","NHS Lancashire and South Cumbria ICB - 02M",19,36.9260001126388,60.3153756920435,48.6221052631579
"E38000227","NHS Lancashire and South Cumbria ICB - 01E",22,35.7108314264276,63.6672685765894,49.6895454545455
"E38000228","NHS Lancashire and South Cumbria ICB - 01K",32,46.6066872117806,61.3784163989906,53.9934375
"E38000230","NHS Devon ICB - 15N",121,28.0091686567944,61.078269113098,44.5440495867769
"E38000231","NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",89,27.1245096962828,58.3198433372981,42.7221348314607
"E38000232","NHS West Yorkshire ICB - 36J",62,41.9060703642039,71.8579465586982,56.5441935483871
"E38000233","NHS Cheshire and Merseyside ICB - 27D",78,37.3112133297782,65.0605109571588,51.5874358974359
"E38000234","NHS North East and North Cumbria ICB - 84H",61,26.6880341509624,63.923684166854,45.3060655737705
"E38000235","NHS Sussex ICB - 97R",52,39.9924919217002,54.1517845903022,47.0723076923077
"E38000236","NHS Herefordshire and Worcestershire ICB - 18C",80,28.7848733969066,67.2271124025378,48.005625
"E38000237","NHS Kent and Medway ICB - 91Q",192,39.6262538883368,54.727288215797,47.09953125
"E38000238","NHS Lincolnshire ICB - 71E",84,28.6599105328972,66.3790808106302,47.3483333333333
"E38000239","NHS Norfolk and Waveney ICB - 26A",105,34.6991729964366,56.5977986123118,45.6488571428571
"E38000240","NHS North Central London ICB - 93C",178,42.9102693729764,58.7403322128357,50.8252808988764
"E38000241","NHS Humber and North Yorkshire ICB - 42D",51,29.1474408707978,69.5792356400547,49.3633333333333
"E38000243","NHS Nottingham and Nottinghamshire ICB - 52R",124,39.8960941690276,60.2939083379447,50.0952845528455
"E38000244","NHS South East London ICB - 72Q",198,38.4299343433567,58.2050147436604,48.3216161616162
"E38000245","NHS South West London ICB - 36L",178,42.6768600715647,58.739941442912,50.5885393258427
"E38000246","NHS Surrey Heartlands ICB - 92A",104,37.774403717332,52.9381762668491,45.0296153846154
"E38000247","NHS North East and North Cumbria ICB - 16C",80,31.7197182319456,63.6193884328053,47.470875
"E38000248","NHS Sussex ICB - 70F",75,35.088922328868,60.3476497111061,47.7182666666667
"E38000249","NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",95,31.3443336660393,61.1082946137159,46.226
"E38000251","NHS Coventry and Warwickshire ICB - B2M3M",119,28.9108288496933,62.8129210513443,46.0882352941176
"E38000252","NHS Frimley ICB - D4U1Y",72,46.7631556012198,58.6116581305015,53.0686111111111
"E38000253","NHS Hampshire and Isle Of Wight ICB - D9Y0V",128,36.3879860390487,56.0936121289096,46.18390625
