sub_icb_loc_ons_code,sub_icb_loc_name,n_practices,mean_copd008,mean_copd010,mean_overall
E38000200,NHS Lancashire and South Cumbria ICB - 02G,15,33.39959247430982,66.85971663464915,50.12965455447948
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",46,34.37101496593509,73.71666329163848,54.04383912878678
E38000204,NHS Suffolk and North East Essex ICB - 07K,24,25.329277100622956,58.06312603306521,41.69620156684408
E38000205,NHS Greater Manchester ICB - 02H,57,33.362354276528144,64.49512708021471,48.928740678371426
E38000208,NHS Cheshire and Merseyside ICB - 12F,47,35.473927675030296,65.25376069584432,50.36384418543731
E38000212,NHS North East and North Cumbria ICB - 13T,60,44.50345581047016,63.88487042367368,54.448300985318
E38000215,NHS North East and North Cumbria ICB - 01H,35,41.557961661733295,61.73088623651306,51.64442394912317
E38000217,NHS Greater Manchester ICB - 14L,83,35.587192335141545,60.26338057238441,47.92528645376298
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",44,41.07124356878502,60.4252015721418,50.74822257046341
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",77,45.63062576687703,60.24894351404374,52.63958315515198
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",48,46.13972008673488,63.92549264031163,55.03260636352326
E38000225,NHS West Yorkshire ICB - 15F,91,28.14451055370133,71.07236653131638,49.453798374631376
E38000226,NHS Lancashire and South Cumbria ICB - 02M,19,36.926000112638775,60.31537569204353,48.62068790234115
E38000227,NHS Lancashire and South Cumbria ICB - 01E,22,35.71083142642757,63.66726857658939,49.689050001508484
E38000228,NHS Lancashire and South Cumbria ICB - 01K,32,46.60668721178055,61.378416398990595,53.992551805385574
E38000230,NHS Devon ICB - 15N,121,28.009168656794433,61.07826911309796,44.543718884946195
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",89,27.12450969628285,58.319843337298124,42.72217651679048
E38000232,NHS West Yorkshire ICB - 36J,62,41.90607036420387,71.85794655869816,56.544056281094534
E38000233,NHS Cheshire and Merseyside ICB - 27D,78,37.31121332977823,65.06051095715875,51.587713340072476
E38000234,NHS North East and North Cumbria ICB - 84H,61,26.68803415096238,63.92368416685395,45.30585915890816
E38000235,NHS Sussex ICB - 97R,52,39.992491921700235,54.15178459030218,47.0721382560012
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,80,28.784873396906598,67.22711240253776,48.00599289972218
E38000237,NHS Kent and Medway ICB - 91Q,192,39.62625388833684,54.72728821579699,47.09910872831767
E38000238,NHS Lincolnshire ICB - 71E,84,28.659910532897207,66.37908081063021,47.34890096621075
E38000239,NHS Norfolk and Waveney ICB - 26A,105,34.69917299643662,56.59779861231182,45.64848580437422
E38000240,NHS North Central London ICB - 93C,178,42.91026937297641,58.74033221283568,50.82530079290605
E38000241,NHS Humber and North Yorkshire ICB - 42D,51,29.147440870797762,69.57923564005473,49.36333825542625
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,124,39.8960941690276,60.293908337944664,50.09500125348613
E38000244,NHS South East London ICB - 72Q,198,38.429934343356685,58.20501474366039,48.32143935577279
E38000245,NHS South West London ICB - 36L,178,42.67686007156469,58.73994144291205,50.588521936812626
E38000246,NHS Surrey Heartlands ICB - 92A,104,37.77440371733202,52.93817626684909,45.030056820252305
E38000247,NHS North East and North Cumbria ICB - 16C,80,31.719718231945553,63.61938843280531,47.47130509342577
E38000248,NHS Sussex ICB - 70F,75,35.08892232886796,60.3476497111061,47.718286019987026
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",95,31.34433366603934,61.10829461371587,46.22631413987761
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,119,28.910828849693345,62.812921051344254,46.087951628154755
E38000252,NHS Frimley ICB - D4U1Y,72,46.76315560121981,58.6116581305015,53.068384543442285
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,128,36.387986039048684,56.09361212890965,46.183576991775
E38000254,NHS West Yorkshire ICB - X2C4Y,64,32.46376486193205,68.89732238489295,50.840523401605125
E38000255,NHS North East London ICB - A3A8R,273,48.29560972382247,63.64068128560975,55.8041512012562
E38000256,NHS North West London ICB - W2U3Z,351,38.95978128948384,53.18692257922014,45.73447578783037
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",51,40.24462300239955,50.39309794004276,45.31886047122116
E38000258,NHS Birmingham and Solihull ICB - 15E,182,35.047763614151975,62.884473412545816,49.015674907138354
E38000259,NHS Black Country ICB - D2P2L,181,29.56802737421913,59.49817625345623,44.41039914025497
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,88,31.26935915620044,58.877237753308734,45.073298454754585
E38000261,NHS Derby and Derbyshire ICB - 15M,117,37.96470050465804,64.03528602613692,50.99999326539748
E38000262,NHS Northamptonshire ICB - 78H,69,36.36642818201852,55.12096066658712,45.743694424302824
E38000263,NHS Greater Manchester ICB - 01Y,31,22.296903008565163,67.61342397143017,44.955163489997666
